Unnamed: 0,Player,Serve Rating,% 1st Serve,% 1st Serve Points Won,% 2st Serve Points Won,% Service Games Won,Avg. Aces/ Match,Avg. Double Faults/Match,Year,Board_Type,Return Rating,% 1st Serve Return Points Won,% 2nd Serve Return Points Won,% Return Games Won,% Break Points Converted
28,Jim Courier,,,,,,,,1993,return,156.8,32.2%,53.5%,29.1%,42.0%
29,Alex Corretja,,,,,,,,1993,return,156.6,34.1%,49.9%,29.7%,42.9%
30,Jaime Yzaga,,,,,,,,1993,return,156.2,31.8%,53.0%,28.8%,42.6%
31,Jaime Oncins,,,,,,,,1993,return,155.9,33.2%,52.9%,28.1%,41.7%
32,Renzo Furlan,,,,,,,,1993,return,155.6,32.9%,50.6%,28.4%,43.7%
33,Pete Sampras,,,,,,,,1993,return,155.2,30.4%,54.0%,27.7%,43.1%
34,Todd Woodbridge,,,,,,,,1993,return,155.2,33.1%,51.6%,27.4%,43.1%
35,Javier Sanchez,,,,,,,,1993,return,154.8,35.4%,50.7%,28.9%,39.8%
36,Gilbert Schaller,,,,,,,,1993,return,153.1,29.5%,52.9%,27.3%,43.4%
37,Andrei Medvedev,,,,,,,,1993,return,153.0,31.0%,53.1%,26.6%,42.3%
38,Ronald Agenor,,,,,,,,1993,return,152.8,31.3%,52.8%,27.1%,41.6%
39,Anders Jarryd,,,,,,,,1993,return,152.8,31.3%,54.0%,28.5%,39.0%
40,Arnaud Boetsch,,,,,,,,1993,return,152.6,30.3%,53.5%,27.3%,41.5%
41,Alexander Volkov,,,,,,,,1993,return,152.5,30.1%,52.6%,26.9%,42.9%
42,Amos Mansdorf,,,,,,,,1993,return,151.6,29.1%,52.8%,26.5%,43.2%
43,Todd Martin,,,,,,,,1993,return,151.4,29.5%,52.2%,24.9%,44.8%
44,David Wheaton,,,,,,,,1993,return,151.3,28.1%,54.4%,26.0%,42.8%
45,Christian Bergstrom,,,,,,,,1993,return,151.0,30.8%,51.5%,25.4%,43.3%
46,Andrei Cherkasov,,,,,,,,1993,return,150.7,28.5%,53.5%,26.4%,42.3%
47,Gabriel Markus,,,,,,,,1993,return,150.7,31.0%,55.2%,27.4%,37.1%
48,Marcelo Filippini,,,,,,,,1993,return,150.4,32.8%,50.2%,26.5%,40.9%
49,Ivan Lendl,,,,,,,,1993,return,150.4,32.1%,50.9%,26.8%,40.6%
50,Jeff Tarango,,,,,,,,1993,return,150.0,30.7%,49.7%,27.2%,42.4%
1,Franco Davin,,,,,,,,1992,return,174.1,36.2%,54.3%,35.3%,48.3%
2,Michael Chang,,,,,,,,1992,return,174.0,34.9%,57.1%,36.7%,45.3%
3,Bart Wuyts,,,,,,,,1992,return,171.4,35.2%,54.9%,34.8%,46.5%
4,Tomas Carbonell,,,,,,,,1992,return,169.7,35.3%,53.5%,34.2%,46.7%
5,Andre Agassi,,,,,,,,1992,return,169.0,30.2%,57.9%,33.7%,47.2%
6,Renzo Furlan,,,,,,,,1992,return,167.9,35.8%,53.3%,33.6%,45.2%
7,Aaron Krickstein,,,,,,,,1992,return,167.3,33.8%,55.5%,34.0%,44.0%
8,Jordi Arrese,,,,,,,,1992,return,165.2,33.9%,54.9%,32.9%,43.5%
9,Francisco Roig,,,,,,,,1992,return,164.6,35.2%,55.7%,34.4%,39.3%
10,Jaime Oncins,,,,,,,,1992,return,163.7,34.8%,53.5%,32.4%,43.0%
11,Guillermo Perez-Roldan,,,,,,,,1992,return,163.7,36.0%,50.8%,31.0%,45.9%
12,Sergi Bruguera,,,,,,,,1992,return,163.4,33.8%,52.1%,32.3%,45.2%
13,Andrei Medvedev,,,,,,,,1992,return,163.0,34.9%,51.5%,30.7%,45.9%
14,Fabrice Santoro,,,,,,,,1992,return,162.9,35.8%,51.7%,31.2%,44.2%
15,Carlos Costa,,,,,,,,1992,return,162.8,32.1%,56.8%,31.8%,42.1%
16,Christian Bergstrom,,,,,,,,1992,return,161.6,33.8%,53.1%,32.0%,42.7%
17,Francisco Clavet,,,,,,,,1992,return,160.5,32.2%,53.2%,29.9%,45.2%
18,Petr Korda,,,,,,,,1992,return,160.2,34.1%,53.0%,31.4%,41.7%
19,Frederic Fontang,,,,,,,,1992,return,159.2,34.9%,52.6%,32.0%,39.7%
20,Jim Courier,,,,,,,,1992,return,158.3,31.8%,54.5%,29.8%,42.2%
21,Goran Prpic,,,,,,,,1992,return,158.0,34.0%,52.5%,31.0%,40.5%
22,MaliVai Washington,,,,,,,,1992,return,157.1,33.1%,50.8%,28.8%,44.4%
23,Thierry Champion,,,,,,,,1992,return,156.6,31.8%,53.6%,28.4%,42.8%
24,Karel Novacek,,,,,,,,1992,return,156.6,33.3%,52.1%,29.9%,41.3%
25,Thomas Muster,,,,,,,,1992,return,156.5,32.6%,52.9%,29.1%,41.9%
26,Jonas Svensson,,,,,,,,1992,return,156.5,32.3%,53.2%,27.5%,43.5%
27,Magnus Gustafsson,,,,,,,,1992,return,156.3,35.7%,49.9%,29.4%,41.3%
28,Wayne Ferreira,,,,,,,,1992,return,155.2,32.2%,51.9%,27.5%,43.6%
29,Brad Gilbert,,,,,,,,1992,return,154.9,32.4%,51.3%,27.3%,43.9%
30,Jimmy Connors,,,,,,,,1992,return,154.8,31.2%,53.2%,28.5%,41.9%
31,Andrei Chesnokov,,,,,,,,1992,return,154.7,32.3%,52.0%,28.9%,41.5%
32,Jaime Yzaga,,,,,,,,1992,return,154.3,32.0%,51.7%,28.2%,42.4%
33,Ivan Lendl,,,,,,,,1992,return,153.8,30.6%,53.3%,28.4%,41.5%
34,Alexander Volkov,,,,,,,,1992,return,153.8,30.1%,52.0%,26.6%,45.1%
35,Patrick McEnroe,,,,,,,,1992,return,153.7,29.3%,54.6%,26.1%,43.7%
36,Gabriel Markus,,,,,,,,1992,return,153.0,30.0%,53.3%,24.6%,45.1%
37,Emilio Sanchez,,,,,,,,1992,return,152.9,33.8%,49.0%,27.3%,42.8%
38,Stefan Edberg,,,,,,,,1992,return,152.8,31.1%,53.5%,27.4%,40.8%
39,Marcelo Filippini,,,,,,,,1992,return,152.6,32.5%,51.9%,27.1%,41.1%
40,Carl-Uwe Steeb,,,,,,,,1992,return,152.1,31.0%,52.3%,26.1%,42.7%
41,Pete Sampras,,,,,,,,1992,return,152.1,30.4%,51.7%,26.5%,43.5%
42,Gianluca Pozzi,,,,,,,,1992,return,151.7,32.0%,51.2%,26.3%,42.2%
43,John McEnroe,,,,,,,,1992,return,151.1,30.2%,51.3%,26.6%,43.0%
44,Henrik Holm,,,,,,,,1992,return,150.7,31.8%,51.0%,25.1%,42.8%
45,Jeff Tarango,,,,,,,,1992,return,150.2,29.5%,51.9%,26.7%,42.1%
46,Guillaume Raoux,,,,,,,,1992,return,150.1,27.3%,53.9%,25.3%,43.6%
47,Todd Martin,,,,,,,,1992,return,149.7,30.1%,52.7%,26.5%,40.4%
48,Mark Woodforde,,,,,,,,1992,return,149.7,31.2%,51.9%,25.7%,40.9%
49,Alberto Mancini,,,,,,,,1992,return,149.6,28.9%,50.5%,24.1%,46.1%
50,Horst Skoff,,,,,,,,1992,return,149.3,32.4%,48.5%,26.2%,42.2%
1,Guillermo Perez-Roldan,,,,,,,,1991,return,183.3,37.5%,56.6%,38.6%,50.6%
2,Magnus Gustafsson,,,,,,,,1991,return,177.2,37.9%,55.4%,36.1%,47.8%
3,Thomas Muster,,,,,,,,1991,return,175.7,37.7%,54.4%,36.0%,47.6%
4,Michael Chang,,,,,,,,1991,return,172.7,34.5%,54.8%,35.2%,48.2%
5,Andrei Chesnokov,,,,,,,,1991,return,172.0,36.4%,52.7%,35.1%,47.8%
6,Jordi Arrese,,,,,,,,1991,return,169.8,34.9%,55.5%,34.3%,45.1%
7,Stefan Edberg,,,,,,,,1991,return,168.1,35.5%,54.3%,33.3%,45.0%
8,Sergi Bruguera,,,,,,,,1991,return,167.5,34.2%,55.4%,32.8%,45.1%
9,Horacio de la Pena,,,,,,,,1991,return,166.8,37.4%,53.6%,34.6%,41.2%
10,Fabrice Santoro,,,,,,,,1991,return,166.2,35.5%,53.8%,33.9%,43.0%
11,Anders Jarryd,,,,,,,,1991,return,165.2,33.4%,52.5%,30.8%,48.5%
12,Francisco Clavet,,,,,,,,1991,return,165.1,34.9%,53.2%,33.0%,44.0%
13,Goran Prpic,,,,,,,,1991,return,165.1,34.3%,53.7%,32.2%,44.9%
14,Eduardo Masso,,,,,,,,1991,return,164.7,34.9%,52.8%,30.4%,46.6%
15,Jimmy Connors,,,,,,,,1991,return,164.6,34.3%,54.1%,32.3%,43.9%
16,Lars Jonsson,,,,,,,,1991,return,164.4,33.4%,53.2%,32.1%,45.7%
17,Christian Bergstrom,,,,,,,,1991,return,163.2,34.8%,52.1%,31.6%,44.7%
18,Renzo Furlan,,,,,,,,1991,return,163.2,35.8%,51.2%,31.5%,44.7%
19,Ivan Lendl,,,,,,,,1991,return,161.5,32.1%,53.3%,29.4%,46.7%
20,Jaime Yzaga,,,,,,,,1991,return,160.4,34.5%,51.1%,30.8%,44.0%
21,Jim Courier,,,,,,,,1991,return,160.3,31.8%,53.2%,29.7%,45.6%
22,Petr Korda,,,,,,,,1991,return,160.3,33.7%,52.7%,29.6%,44.3%
23,Marian Vajda,,,,,,,,1991,return,159.6,34.7%,51.3%,29.3%,44.3%
24,Jaime Oncins,,,,,,,,1991,return,159.4,35.1%,53.7%,29.7%,40.9%
25,Patrick McEnroe,,,,,,,,1991,return,159.3,32.2%,55.7%,30.3%,41.1%
26,Jimmy Arias,,,,,,,,1991,return,158.8,32.4%,53.8%,29.7%,42.9%
27,Paul Haarhuis,,,,,,,,1991,return,158.3,34.2%,49.6%,28.2%,46.3%
28,Horst Skoff,,,,,,,,1991,return,157.4,34.6%,51.3%,29.1%,42.4%
29,Richard Fromberg,,,,,,,,1991,return,157.0,34.8%,48.3%,27.7%,46.2%
30,Thierry Champion,,,,,,,,1991,return,156.9,33.8%,49.2%,28.1%,45.8%
31,Brad Gilbert,,,,,,,,1991,return,156.6,34.8%,49.6%,28.7%,43.5%
32,Carl-Uwe Steeb,,,,,,,,1991,return,156.4,33.4%,52.1%,27.4%,43.5%
33,Andrei Cherkasov,,,,,,,,1991,return,156.3,31.8%,54.0%,28.3%,42.2%
34,Andre Agassi,,,,,,,,1991,return,155.7,32.0%,53.0%,28.9%,41.8%
35,Arnaud Boetsch,,,,,,,,1991,return,155.7,32.5%,52.9%,28.8%,41.5%
36,Alexander Volkov,,,,,,,,1991,return,155.4,32.5%,50.7%,26.6%,45.6%
37,Jonas Svensson,,,,,,,,1991,return,155.3,33.5%,50.3%,27.9%,43.6%
38,Veli Paloheimo,,,,,,,,1991,return,154.7,35.5%,52.1%,29.4%,37.7%
39,Javier Frana,,,,,,,,1991,return,154.2,30.7%,51.0%,25.1%,47.4%
40,Jan Gunnarsson,,,,,,,,1991,return,154.2,33.3%,51.3%,27.9%,41.7%
41,Richey Reneberg,,,,,,,,1991,return,153.9,33.5%,51.2%,28.4%,40.8%
42,Gilad Bloom,,,,,,,,1991,return,153.3,31.6%,49.4%,27.2%,45.1%
43,Boris Becker,,,,,,,,1991,return,153.1,32.6%,50.4%,27.3%,42.8%
44,MaliVai Washington,,,,,,,,1991,return,152.8,30.8%,52.1%,26.1%,43.8%
45,John McEnroe,,,,,,,,1991,return,152.6,33.5%,50.6%,27.7%,40.8%
46,Tomas Carbonell,,,,,,,,1991,return,152.0,31.5%,50.4%,26.5%,43.6%
47,Todd Woodbridge,,,,,,,,1991,return,152.0,30.0%,53.3%,26.5%,42.2%
48,Martin Jaite,,,,,,,,1991,return,151.7,32.7%,48.7%,26.0%,44.3%
49,Mark Koevermans,,,,,,,,1991,return,151.7,34.7%,48.6%,26.6%,41.8%
50,Omar Camporese,,,,,,,,1991,return,151.6,32.1%,49.8%,26.2%,43.5%
